,name,clock tower,darshanlal chowk,saharanpur chowk,isbt dehradun,graphic era hill university,asley hall,matawala bagh,daudwala,mathurawala,vishnupuram,bangali kothi,kargi chowk,ranipokhri,doiwala,lachiwala,kuanwala,harawala,miawala,mokampur,jogiwala,rispana,gujraunwala,raipur chowk,dobhal chowk,6 no. pulia,ring road,post office nehru gram,graphic era hill university/gehu,hathibadkala,garhi cant,vijay coloney,chir bagh,cm house,ongc chowk,ballupur chowk,gms road,rajender nagar,yamuna coloney,bindal pul,kishan nagar,blood bank,supply,it park dehradun,nala paani chowk,shastdhara crossing,ladpur,fountain chowk rispana,fountain chowk,nehru colony,kargi,nakrounda more,naya gaon palio,badowala,telpur,mehuwala,race course,dharampur,mata mandir,balbir road,rajpur,great value,dilaram bazar,nanni bakery dehradun,survey chowk,dwarka store,araghar,kulhal,vikasnagar,tehsil,harbatpur chowk,langa road,shaspur,selaqui,sudhowala,nanda ki chowki,premnagar,panditwari,vasant vihar,selaqui chowk,baliwala chowk,bahuwala raja road,raja road,bansiwala,manduwala,prem nagar,balliwala chowk
30,vijay coloney,3.325,3.233,1.931,2.515,3.759,3.89,1.395,5.142,1.36,1.513,2.054,1.81,23.254,17.516,16.115,2.456,6.464,5.448,6.765,5.058,3.948,2.456,7.781,6.05,2.323,5.77,7.625,4.488,3.239,1.422,0.0,1.793,1.674,1.54,2.568,2.424,3.983,3.116,3.116,3.116,2.978,10.076,9.208,1.256,1.587,1.873,2.182,4.089,3.674,1.81,13.2,29.575,6.185,3.133,3.46,2.849,3.881,10.237,3.536,11.111,3.02,5.313,,4.089,2.849,3.15,39.688,18.701,3.001,22.274,22.459,22.274,16.928,6.315,7.583,6.191,4.055,2.911,24.61,3.233,2.669,2.391,12.449,11.949,6.301,3.233
31,chir bagh,1.592,1.469,0.655,4.293,5.373,2.142,0.972,6.07,3.153,3.014,0.341,2.807,22.669,17.536,16.022,0.995,5.618,4.652,6.176,4.339,3.996,0.995,6.329,4.635,0.772,4.242,6.174,6.116,2.722,1.865,1.793,0.0,0.333,1.113,0.777,2.34,3.099,1.635,1.635,1.635,1.187,8.496,7.453,0.603,0.337,0.367,0.554,2.297,2.567,2.807,12.702,30.17,7.759,4.63,4.833,1.107,2.792,8.64,2.085,9.42,1.229,3.561,,2.297,1.107,1.728,40.754,19.548,1.23,23.219,23.743,23.219,17.923,7.249,8.365,7.044,4.69,3.458,25.588,1.469,0.927,0.642,13.531,12.17,7.233,1.469
32,cm house,1.651,1.565,0.393,4.189,5.356,2.216,0.653,6.22,3.017,3.01,0.662,2.9,22.998,17.826,16.321,0.859,5.949,4.981,6.499,4.664,4.254,0.859,6.636,4.95,1.102,4.542,6.098,6.096,3.023,2.002,1.674,0.333,0.0,1.322,0.985,2.009,2.86,1.534,1.534,1.534,1.345,8.474,7.534,0.669,0.555,0.69,0.881,2.448,2.899,2.9,13.025,29.838,7.502,4.371,4.552,1.374,3.125,8.625,2.408,9.454,1.385,3.639,,2.448,1.374,2.055,40.428,19.216,1.339,22.889,23.433,22.889,17.595,6.923,8.034,6.715,4.358,3.128,25.259,1.565,1.2,0.729,13.209,11.849,6.908,1.565
33,ongc chowk,2.571,2.404,1.714,3.729,4.537,3.069,1.7,4.968,2.757,2.218,1.095,1.796,21.945,16.56,15.081,2.108,5.006,3.998,5.415,3.632,2.949,2.108,6.252,4.521,1.071,4.272,7.24,5.277,1.854,0.818,1.54,1.113,1.322,0.0,1.626,3.161,4.182,2.739,2.739,2.739,2.048,9.497,8.274,0.722,0.784,0.856,1.06,3.061,2.135,1.796,11.922,30.861,7.719,4.671,4.981,1.69,2.344,9.63,2.053,10.326,2.089,4.434,,3.061,1.69,1.675,41.167,20.095,2.169,23.708,23.986,23.708,18.376,7.716,8.926,7.557,5.291,4.069,26.057,2.404,1.543,1.684,13.922,13.01,7.702,2.404
34,ballupur chowk,0.953,0.778,1.031,5.06,6.085,1.446,1.607,6.546,3.928,3.727,0.557,3.417,22.406,17.55,15.992,0.945,5.346,4.439,6.017,4.178,4.21,0.945,5.725,4.076,0.669,3.621,5.645,6.828,2.791,2.442,2.568,0.777,0.985,1.626,0.0,2.743,3.034,1.324,1.324,1.324,0.433,7.872,6.715,1.344,1.02,0.795,0.574,1.528,2.313,3.417,12.508,30.504,8.486,5.355,5.526,0.445,2.527,8.004,1.629,8.722,0.475,2.837,,1.528,0.445,1.355,41.27,19.997,0.546,23.699,24.352,23.699,18.431,7.785,8.837,7.555,5.177,3.969,26.079,0.778,0.327,0.374,14.082,12.396,7.769,0.778
35,gms road,2.781,2.855,1.748,4.366,5.925,3.232,1.464,7.566,3.206,3.899,2.648,4.21,25.007,19.709,18.241,1.869,7.957,6.99,8.499,6.669,6.076,1.869,8.438,6.814,3.091,6.334,5.765,6.603,4.983,3.577,2.424,2.34,2.009,3.161,2.743,0.0,1.808,2.086,2.086,2.086,2.888,8.354,8.056,2.443,2.517,2.699,2.869,3.728,4.903,4.21,15.026,27.831,6.33,3.357,3.311,3.188,5.129,8.548,4.346,9.644,2.909,4.413,,3.728,3.188,4.022,38.534,17.257,2.746,20.957,21.698,20.957,15.694,5.077,6.095,4.829,2.447,1.293,23.338,2.855,3.05,2.37,11.371,9.861,5.06,2.855
36,rajender nagar,2.473,2.655,2.468,6.148,7.656,2.628,2.669,9.007,4.963,5.496,3.27,5.632,25.33,20.574,19.025,2.153,8.321,7.451,9.041,7.207,7.094,2.153,8.123,6.69,3.636,6.104,3.978,8.353,5.771,4.822,3.983,3.099,2.86,4.182,3.034,1.808,0.0,1.754,1.754,1.754,2.91,6.584,6.534,3.503,3.405,3.441,3.451,3.222,5.334,5.632,15.503,27.752,7.872,5.068,4.933,3.406,5.542,6.786,4.577,7.949,2.904,3.308,,3.222,3.406,4.366,38.984,17.556,2.704,21.339,22.513,21.339,16.201,5.955,6.67,5.63,3.447,2.716,23.743,2.655,3.351,2.725,12.078,9.519,5.937,2.655
37,yamuna coloney,0.771,0.923,1.195,5.59,6.859,1.148,1.753,7.704,4.384,4.53,1.685,4.425,23.586,18.866,17.299,0.677,6.567,5.701,7.294,5.465,5.511,0.677,6.531,5.011,1.973,4.459,4.565,7.595,4.112,3.498,3.116,1.635,1.534,2.739,1.324,2.086,1.754,0.0,0.0,0.0,1.156,6.964,6.208,2.188,1.972,1.902,1.821,1.675,3.591,4.425,13.749,29.428,8.343,5.271,5.314,1.661,3.795,7.122,2.823,8.017,1.15,2.394,,1.675,1.661,2.621,40.45,19.084,0.949,22.832,23.74,22.832,17.621,7.102,8.018,6.826,4.466,3.375,25.226,0.923,1.625,1.085,13.369,11.237,7.084,0.923
38,bindal pul,0.771,0.923,1.195,5.59,6.859,1.148,1.753,7.704,4.384,4.53,1.685,4.425,23.586,18.866,17.299,0.677,6.567,5.701,7.294,5.465,5.511,0.677,6.531,5.011,1.973,4.459,4.565,7.595,4.112,3.498,3.116,1.635,1.534,2.739,1.324,2.086,1.754,0.0,0.0,0.0,1.156,6.964,6.208,2.188,1.972,1.902,1.821,1.675,3.591,4.425,13.749,29.428,8.343,5.271,5.314,1.661,3.795,7.122,2.823,8.017,1.15,2.394,,1.675,1.661,2.621,40.45,19.084,0.949,22.832,23.74,22.832,17.621,7.102,8.018,6.826,4.466,3.375,25.226,0.923,1.625,1.085,13.369,11.237,7.084,0.923
39,kishan nagar,0.771,0.923,1.195,5.59,6.859,1.148,1.753,7.704,4.384,4.53,1.685,4.425,23.586,18.866,17.299,0.677,6.567,5.701,7.294,5.465,5.511,0.677,6.531,5.011,1.973,4.459,4.565,7.595,4.112,3.498,3.116,1.635,1.534,2.739,1.324,2.086,1.754,0.0,0.0,0.0,1.156,6.964,6.208,2.188,1.972,1.902,1.821,1.675,3.591,4.425,13.749,29.428,8.343,5.271,5.314,1.661,3.795,7.122,2.823,8.017,1.15,2.394,,1.675,1.661,2.621,40.45,19.084,0.949,22.832,23.74,22.832,17.621,7.102,8.018,6.826,4.466,3.375,25.226,0.923,1.625,1.085,13.369,11.237,7.084,0.923
40,blood bank,0.58,0.378,1.289,5.479,6.517,1.022,1.918,6.936,4.336,4.159,0.99,3.842,22.442,17.739,16.161,1.019,5.412,4.547,6.143,4.32,4.522,1.019,5.551,3.953,1.035,3.449,5.263,7.261,3.066,2.866,2.978,1.187,1.345,2.048,0.433,2.888,2.91,1.156,1.156,1.156,0.0,7.455,6.284,1.77,1.45,1.227,0.988,1.111,2.446,3.842,12.593,30.53,8.81,5.681,5.825,0.535,2.645,7.584,1.667,8.291,0.043,2.404,,1.111,0.535,1.479,41.414,20.1,0.209,23.822,24.566,23.822,18.575,7.963,8.969,7.717,5.335,4.154,26.208,0.378,0.569,0.626,14.258,12.369,7.946,0.378
41,supply,6.93,7.094,8.158,12.511,13.822,6.434,8.692,14.346,11.299,11.484,8.411,11.282,26.076,23.429,21.683,7.634,11.018,10.642,12.059,10.659,11.689,7.634,8.836,8.583,8.478,7.981,2.618,14.558,10.197,10.312,10.076,8.496,8.474,9.497,7.872,8.354,6.584,6.964,6.964,6.964,7.455,0.0,2.674,9.092,8.819,8.653,8.442,6.569,9.184,11.282,17.402,29.882,14.339,11.65,11.49,7.886,9.269,0.25,8.377,1.795,7.415,5.167,,6.569,7.886,8.494,42.557,21.25,7.329,25.092,27.364,25.092,20.508,11.791,11.977,11.41,9.732,9.266,27.481,7.094,7.995,7.859,17.087,12.269,11.774,7.094
42,it park dehradun,5.883,5.986,7.308,11.722,12.795,5.319,7.931,12.793,10.54,10.441,7.271,10.054,23.402,20.943,19.179,6.8,8.757,8.537,9.822,8.628,9.963,6.8,6.303,6.317,7.203,5.783,3.454,13.538,8.531,9.082,9.208,7.453,7.534,8.274,6.715,8.056,6.534,6.208,6.208,6.208,6.284,2.674,0.0,8.049,7.733,7.503,7.234,5.214,7.429,10.054,14.831,32.038,14.363,11.401,11.362,6.584,7.462,2.582,6.726,2.283,6.241,3.896,,5.214,6.584,6.941,44.341,22.901,6.224,26.751,28.591,26.751,21.927,12.363,12.834,12.008,9.968,9.202,29.159,5.986,6.734,6.826,18.17,14.057,12.345,5.986
43,nala paani chowk,2.195,2.069,1.056,3.719,4.77,2.743,0.98,5.551,2.609,2.411,0.806,2.237,22.622,17.282,15.802,1.52,5.631,4.635,6.093,4.286,3.667,1.52,6.628,4.907,1.079,4.576,6.748,5.513,2.548,1.334,1.256,0.603,0.669,0.722,1.344,2.443,3.503,2.188,2.188,2.188,1.77,9.092,8.049,0.0,0.333,0.617,0.926,2.872,2.652,2.237,12.612,30.189,7.365,4.258,4.513,1.594,2.873,9.238,2.353,10.023,1.813,4.159,,2.872,1.594,1.969,40.599,19.47,1.828,23.106,23.494,23.106,17.787,7.112,8.289,6.935,4.632,3.4,25.464,2.069,1.415,1.244,13.357,12.299,7.097,2.069
44,shastdhara crossing,1.901,1.762,0.938,4.05,5.074,2.438,1.074,5.734,2.941,2.714,0.474,2.474,22.498,17.274,15.773,1.327,5.47,4.488,5.982,4.156,3.7,1.327,6.348,4.635,0.77,4.283,6.508,5.817,2.479,1.529,1.587,0.337,0.555,0.784,1.02,2.517,3.405,1.972,1.972,1.972,1.45,8.819,7.733,0.333,0.0,0.293,0.6,2.545,2.448,2.474,12.508,30.324,7.668,4.552,4.789,1.262,2.673,8.961,2.074,9.722,1.493,3.848,,2.545,1.262,1.696,40.816,19.651,1.521,23.304,23.749,23.304,17.995,7.316,8.466,7.126,4.796,3.561,25.667,1.762,1.083,0.961,13.58,12.374,7.301,1.762
45,ladpur,1.723,1.565,1.019,4.316,5.293,2.238,1.296,5.819,3.222,2.938,0.242,2.629,22.308,17.175,15.658,1.305,5.261,4.291,5.81,3.974,3.656,1.305,6.064,4.356,0.48,3.994,6.385,6.037,2.359,1.66,1.873,0.367,0.69,0.856,0.795,2.699,3.441,1.902,1.902,1.902,1.227,8.653,7.503,0.617,0.293,0.0,0.309,2.298,2.218,2.629,12.336,30.526,7.96,4.843,5.074,0.982,2.443,8.789,1.794,9.517,1.269,3.631,,2.298,0.982,1.422,41.07,19.885,1.327,23.547,24.024,23.547,18.244,7.567,8.7,7.369,5.026,3.792,25.913,1.565,0.806,0.831,13.839,12.536,7.551,1.565
46,fountain chowk rispana,1.527,1.35,1.134,4.617,5.562,2.01,1.525,5.973,3.53,3.214,0.222,2.856,22.156,17.129,15.594,1.298,5.094,4.143,5.688,3.846,3.69,1.298,5.787,4.087,0.222,3.707,6.218,6.305,2.321,1.878,2.182,0.554,0.881,1.06,0.574,2.869,3.451,1.821,1.821,1.821,0.988,8.442,7.234,0.926,0.6,0.309,0.0,2.021,2.036,2.856,12.208,30.698,8.259,5.138,5.36,0.679,2.261,8.572,1.532,9.27,1.029,3.378,,2.021,0.679,1.174,41.307,20.096,1.12,23.77,24.29,23.77,18.476,7.803,8.915,7.596,5.239,4.009,26.141,1.35,0.509,0.741,14.084,12.665,7.787,1.35
47,fountain chowk,0.95,0.923,2.337,6.587,7.583,0.594,2.983,7.779,5.447,5.234,2.074,4.849,22.211,17.927,16.296,1.938,5.379,4.654,6.245,4.519,5.16,1.938,4.906,3.491,1.992,2.887,4.588,8.326,3.662,3.873,4.089,2.297,2.448,3.061,1.528,3.728,3.222,1.675,1.675,1.675,1.111,6.569,5.214,2.872,2.545,2.298,2.021,0.0,2.759,4.849,12.519,30.973,9.849,6.73,6.84,1.374,2.901,6.678,1.902,7.28,1.07,1.409,,0.0,1.374,1.944,42.111,20.726,1.119,24.485,25.412,24.485,19.289,8.774,9.689,8.501,6.137,5.021,26.882,0.923,1.52,1.72,15.044,12.724,8.757,0.923
48,nehru colony,2.974,2.765,3.169,5.643,6.049,3.158,3.512,5.386,4.82,4.009,2.257,3.263,20.123,15.3,13.716,3.248,3.059,2.127,3.707,1.875,2.537,3.248,4.172,2.454,1.816,2.349,7.342,6.741,1.131,2.545,3.674,2.567,2.899,2.135,2.313,4.903,5.334,3.591,3.591,3.591,2.446,9.184,7.429,2.652,2.448,2.218,2.036,2.759,0.0,3.263,10.198,32.734,9.84,6.806,7.112,1.93,0.226,9.265,0.859,9.653,2.459,4.064,,2.759,1.93,0.969,43.25,22.098,2.655,25.75,26.115,25.75,20.437,9.759,10.913,9.573,7.241,6.006,28.111,2.765,1.988,2.657,16.008,14.687,9.744,2.765
49,kargi,4.353,4.193,3.274,2.488,2.831,4.862,2.963,3.38,2.056,0.877,2.872,0.0,21.767,15.771,14.41,3.756,5.416,4.431,5.475,4.009,2.407,3.756,7.376,5.691,2.857,5.607,8.979,3.555,2.345,0.978,1.81,2.807,2.9,1.796,3.417,4.21,5.632,4.425,4.425,4.425,3.842,11.282,10.054,2.237,2.474,2.629,2.856,4.849,3.263,0.0,11.709,31.155,7.014,4.315,4.764,3.476,3.4,11.418,3.563,12.121,3.884,6.23,,4.849,3.476,3.241,40.926,20.155,3.956,23.647,23.507,23.647,18.282,7.836,9.165,7.762,5.777,4.689,25.95,4.193,3.336,3.432,13.764,13.704,7.824,4.193
50,nakrounda more,13.058,12.862,13.337,13.87,12.99,13.068,13.573,10.058,13.762,12.54,12.422,11.709,10.061,6.352,4.55,13.446,7.183,8.072,6.527,8.364,9.312,13.446,8.568,9.196,11.993,9.855,16.546,13.233,10.069,11.778,13.2,12.702,13.025,11.922,12.508,15.026,15.503,13.749,13.749,13.749,12.593,17.402,14.831,12.612,12.508,12.336,12.208,12.519,10.198,11.709,0.0,42.769,18.484,16.021,16.473,12.107,9.982,17.363,10.926,16.939,12.599,13.355,,12.519,12.107,11.155,52.526,31.86,12.799,35.35,34.918,35.35,29.984,19.5,20.783,19.389,17.201,15.988,37.641,12.862,12.182,12.855,25.459,24.871,19.487,12.862
51,naya gaon palio,30.191,30.35,29.568,29.329,30.678,30.378,29.25,33.643,29.149,30.384,30.477,31.155,52.807,46.692,45.478,29.564,35.787,34.811,36.276,34.473,33.503,29.564,35.856,34.434,30.919,33.856,28.693,30.79,32.714,30.996,29.575,30.17,29.838,30.861,30.504,27.831,27.752,29.428,29.428,29.428,30.53,29.882,32.038,30.189,30.324,30.526,30.698,30.973,32.734,31.155,42.769,0.0,25.147,26.932,26.437,30.94,32.959,30.103,32.132,31.578,30.536,30.742,,30.973,30.94,31.834,14.612,11.369,30.342,9.09,13.768,9.09,13.698,23.32,22.0,23.4,25.572,26.793,8.087,30.35,30.827,30.134,17.955,18.287,23.331,30.35
52,badowala,8.922,8.926,7.525,4.634,5.637,9.446,6.893,8.666,5.061,6.137,8.083,7.014,28.465,21.638,20.545,7.916,12.412,11.41,12.477,10.994,9.365,7.916,13.965,12.235,8.437,11.939,11.727,5.659,9.226,7.365,6.185,7.759,7.502,7.719,8.486,6.33,7.872,8.343,8.343,8.343,8.81,14.339,14.363,7.365,7.668,7.96,8.259,9.849,9.84,7.014,18.484,25.147,0.0,3.132,3.03,8.865,10.037,14.558,9.708,15.803,8.845,10.725,,9.849,8.865,9.322,34.042,13.836,8.745,17.05,16.508,17.05,11.716,3.547,4.644,3.857,4.626,5.166,19.263,8.926,8.686,8.186,7.231,9.79,3.554,8.926
53,telpur,5.812,5.807,4.399,2.502,4.122,6.347,3.763,6.82,2.259,3.486,4.958,4.315,26.076,19.813,18.551,4.806,9.542,8.527,9.742,8.123,6.721,4.806,10.882,9.156,5.322,8.833,9.039,4.55,6.312,4.436,3.133,4.63,4.371,4.671,5.355,3.357,5.068,5.271,5.271,5.271,5.681,11.65,11.401,4.258,4.552,4.843,5.138,6.73,6.806,4.315,16.021,26.932,3.132,0.0,0.533,5.735,7.013,11.854,6.61,12.992,5.716,7.665,,6.73,5.735,6.225,36.643,15.857,5.62,19.332,19.337,19.332,13.967,3.673,5.059,3.692,2.566,2.42,21.637,5.807,5.556,5.056,9.451,10.014,3.665,5.807
54,mehuwala,5.905,5.919,4.535,3.034,4.654,6.422,3.92,7.346,2.721,3.956,5.168,4.764,26.532,20.326,19.053,4.902,9.913,8.897,10.151,8.499,7.163,4.902,11.136,9.419,5.554,9.067,8.873,5.071,6.682,4.815,3.46,4.833,4.552,4.981,5.526,3.311,4.933,5.314,5.314,5.314,5.825,11.49,11.362,4.513,4.789,5.074,5.36,6.84,7.112,4.764,16.473,26.437,3.03,0.533,0.0,5.926,7.324,11.7,6.861,12.881,5.857,7.695,,6.84,5.926,6.48,36.247,15.391,5.746,18.894,19.004,18.894,13.533,3.153,4.535,3.162,2.145,2.225,21.209,5.919,5.75,5.207,9.028,9.481,3.144,5.919
55,race course,1.108,0.898,1.469,5.296,6.221,1.472,2.017,6.471,4.202,3.882,0.799,3.476,21.986,17.212,15.639,1.376,4.934,4.046,5.635,3.804,3.999,1.376,5.288,3.632,0.619,3.186,5.754,6.963,2.534,2.5,2.849,1.107,1.374,1.69,0.445,3.188,3.406,1.661,1.661,1.661,0.535,7.886,6.584,1.594,1.262,0.982,0.679,1.374,1.93,3.476,12.107,30.94,8.865,5.735,5.926,0.0,2.136,8.006,1.198,8.65,0.559,2.763,,1.374,0.0,0.961,41.714,20.442,0.739,24.145,24.784,24.145,18.876,8.227,9.282,7.998,5.621,4.411,26.524,0.898,0.182,0.818,14.522,12.817,8.21,0.898
56,dharampur,3.163,2.955,3.393,5.806,6.162,3.323,3.737,5.388,5.007,4.167,2.482,3.4,19.9,15.112,13.521,3.465,2.835,1.912,3.5,1.676,2.504,3.465,4.001,2.294,2.041,2.24,7.473,6.846,1.178,2.72,3.881,2.792,3.125,2.344,2.527,5.129,5.542,3.795,3.795,3.795,2.645,9.269,7.462,2.873,2.673,2.443,2.261,2.901,0.226,3.4,9.982,32.959,10.037,7.013,7.324,2.136,0.0,9.345,1.02,9.699,2.657,4.175,,2.901,2.136,1.176,43.472,22.324,2.854,25.974,26.329,25.974,20.66,9.983,11.139,9.798,7.467,6.232,28.335,2.955,2.201,2.875,16.229,14.908,9.967,2.955
57,mata mandir,7.066,7.226,8.315,12.683,13.978,6.563,8.858,14.457,11.47,11.635,8.547,11.418,25.979,23.414,21.663,7.791,11.039,10.686,12.085,10.712,11.779,7.791,8.803,8.599,8.603,8.005,2.832,14.716,10.29,10.445,10.237,8.64,8.625,9.63,8.004,8.548,6.786,7.122,7.122,7.122,7.584,0.25,2.582,9.238,8.961,8.789,8.572,6.678,9.265,11.418,17.363,30.103,14.558,11.854,11.7,8.006,9.345,0.0,8.467,1.548,7.544,5.272,,6.678,8.006,8.594,42.797,21.496,7.463,25.337,27.615,25.337,20.757,12.03,12.223,11.649,9.957,9.475,27.725,7.226,8.119,8.001,17.337,12.513,12.012,7.226
58,balbir road,2.157,1.953,2.6,5.764,6.394,2.304,3.057,6.07,4.807,4.19,1.746,3.563,20.789,16.127,14.529,2.571,3.746,2.889,4.49,2.688,3.312,2.571,4.276,2.561,1.321,2.234,6.489,7.114,1.828,2.69,3.536,2.085,2.408,2.053,1.629,4.346,4.577,2.823,2.823,2.823,1.667,8.377,6.726,2.353,2.074,1.794,1.532,1.902,0.859,3.563,10.926,32.132,9.708,6.61,6.861,1.198,1.02,8.467,0.0,8.917,1.673,3.231,,1.902,1.198,0.387,42.834,21.6,1.874,25.287,25.818,25.287,20.0,9.331,10.426,9.119,6.753,5.528,27.66,1.953,1.306,1.999,15.616,14.014,9.315,1.953
59,rajpur,7.828,7.96,9.182,13.605,14.793,7.284,9.769,14.984,12.401,12.433,9.278,12.121,25.183,23.118,21.342,8.659,11.033,10.818,12.099,10.905,12.191,8.659,8.491,8.596,9.266,8.066,4.143,15.536,10.738,11.144,11.111,9.42,9.454,10.326,8.722,9.644,7.949,8.017,8.017,8.017,8.291,1.795,2.283,10.023,9.722,9.517,9.27,7.28,9.653,12.121,16.939,31.578,15.803,12.992,12.881,8.65,9.699,1.548,8.917,0.0,8.249,5.892,,7.28,8.65,9.104,44.335,23.043,8.201,26.884,29.144,26.884,22.3,13.422,13.68,13.047,11.246,10.664,29.271,7.96,8.785,8.78,18.842,14.058,13.404,7.96
60,great value,0.551,0.345,1.322,5.522,6.56,0.981,1.953,6.973,4.378,4.202,1.033,3.884,22.442,17.755,16.175,1.04,5.417,4.557,6.153,4.332,4.551,1.04,5.532,3.94,1.072,3.431,5.228,7.303,3.092,2.907,3.02,1.229,1.385,2.089,0.475,2.909,2.904,1.15,1.15,1.15,0.043,7.415,6.241,1.813,1.493,1.269,1.029,1.07,2.459,3.884,12.599,30.536,8.845,5.716,5.857,0.559,2.657,7.544,1.673,8.249,0.0,2.362,,1.07,0.559,1.494,41.432,20.114,0.201,23.838,24.591,23.838,18.593,7.984,8.987,7.737,5.355,4.178,26.224,0.345,0.602,0.663,14.279,12.371,7.968,0.345
61,dilaram bazar,1.988,2.092,3.426,7.827,8.92,1.423,4.06,9.187,6.65,6.561,3.394,6.23,22.832,18.975,17.304,2.931,6.365,5.771,7.317,5.702,6.533,2.931,5.216,4.161,3.376,3.502,3.335,9.664,5.037,5.252,5.313,3.561,3.639,4.434,2.837,4.413,3.308,2.394,2.394,2.394,2.404,5.167,3.896,4.159,3.848,3.631,3.378,1.409,4.064,6.23,13.355,30.742,10.725,7.665,7.695,2.763,4.175,5.272,3.231,5.892,2.362,0.0,,1.409,2.763,3.328,42.242,20.785,2.331,24.589,25.818,24.589,19.49,9.225,9.978,8.913,6.639,5.666,26.998,2.092,2.894,2.93,15.386,12.456,9.207,2.092
62,nanni bakery dehradun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
63,survey chowk,0.95,0.923,2.337,6.587,7.583,0.594,2.983,7.779,5.447,5.234,2.074,4.849,22.211,17.927,16.296,1.938,5.379,4.654,6.245,4.519,5.16,1.938,4.906,3.491,1.992,2.887,4.588,8.326,3.662,3.873,4.089,2.297,2.448,3.061,1.528,3.728,3.222,1.675,1.675,1.675,1.111,6.569,5.214,2.872,2.545,2.298,2.021,0.0,2.759,4.849,12.519,30.973,9.849,6.73,6.84,1.374,2.901,6.678,1.902,7.28,1.07,1.409,,0.0,1.374,1.944,42.111,20.726,1.119,24.485,25.412,24.485,19.289,8.774,9.689,8.501,6.137,5.021,26.882,0.923,1.52,1.72,15.044,12.724,8.757,0.923
64,dwarka store,1.108,0.898,1.469,5.296,6.221,1.472,2.017,6.471,4.202,3.882,0.799,3.476,21.986,17.212,15.639,1.376,4.934,4.046,5.635,3.804,3.999,1.376,5.288,3.632,0.619,3.186,5.754,6.963,2.534,2.5,2.849,1.107,1.374,1.69,0.445,3.188,3.406,1.661,1.661,1.661,0.535,7.886,6.584,1.594,1.262,0.982,0.679,1.374,1.93,3.476,12.107,30.94,8.865,5.735,5.926,0.0,2.136,8.006,1.198,8.65,0.559,2.763,,1.374,0.0,0.961,41.714,20.442,0.739,24.145,24.784,24.145,18.876,8.227,9.282,7.998,5.621,4.411,26.524,0.898,0.182,0.818,14.522,12.817,8.21,0.898
65,araghar,2.019,1.809,2.274,5.396,6.07,2.258,2.699,5.885,4.426,3.836,1.393,3.241,21.054,16.261,14.682,2.298,3.992,3.088,4.675,2.844,3.217,2.298,4.659,2.94,0.957,2.62,6.516,6.795,1.718,2.341,3.15,1.728,2.055,1.675,1.355,4.022,4.366,2.621,2.621,2.621,1.479,8.494,6.941,1.969,1.696,1.422,1.174,1.944,0.969,3.241,11.155,31.834,9.322,6.225,6.48,0.961,1.176,8.594,0.387,9.104,1.494,3.328,,1.944,0.961,0.0,42.481,21.266,1.688,24.944,25.444,24.944,19.65,8.977,10.086,8.77,6.411,5.182,27.314,1.809,1.028,1.711,15.256,13.748,8.961,1.809
66,kulhal,41.215,41.331,40.251,38.661,39.596,41.538,39.782,42.61,38.879,40.064,41.09,40.926,62.487,55.19,54.319,40.395,46.152,45.136,46.384,44.743,43.327,40.395,46.962,45.346,41.525,44.863,40.888,39.459,42.924,41.062,39.688,40.754,40.428,41.167,41.27,38.534,38.984,40.45,40.45,40.45,41.414,42.557,44.341,40.599,40.816,41.07,41.307,42.111,43.25,40.926,52.526,14.612,34.042,36.643,36.247,41.714,43.472,42.797,42.834,44.335,41.432,42.242,,42.111,41.714,42.481,0.0,21.48,41.257,17.654,17.818,17.654,22.84,33.505,32.445,33.718,36.094,37.309,15.244,41.331,41.567,40.9,27.245,30.313,33.52,41.331
67,vikasnagar,19.855,19.985,19.0,18.163,19.426,20.143,18.589,22.427,18.11,19.342,19.875,20.155,41.921,35.457,34.308,19.09,25.097,24.092,25.466,23.724,22.548,19.09,25.615,24.052,20.318,23.534,19.447,19.494,21.919,20.117,18.701,19.548,19.216,20.095,19.997,17.257,17.556,19.084,19.084,19.084,20.1,21.25,22.901,19.47,19.651,19.885,20.096,20.726,22.098,20.155,31.86,11.369,13.836,15.857,15.391,20.442,22.324,21.496,21.6,23.043,20.114,20.785,,20.726,20.442,21.266,21.48,0.0,19.931,3.851,7.54,3.851,2.444,12.388,11.185,12.538,14.859,16.093,6.259,19.985,20.306,19.623,6.611,9.001,12.402,19.985
68,tehsil,0.408,0.241,1.222,5.512,6.595,0.917,1.866,7.089,4.353,4.235,1.085,3.956,22.642,17.947,16.37,0.881,5.618,4.756,6.352,4.529,4.71,0.881,5.704,4.125,1.196,3.607,5.103,7.338,3.262,2.983,3.001,1.23,1.339,2.169,0.546,2.746,2.704,0.949,0.949,0.949,0.209,7.329,6.224,1.828,1.521,1.327,1.12,1.119,2.655,3.956,12.799,30.342,8.745,5.62,5.746,0.739,2.854,7.463,1.874,8.201,0.201,2.331,,1.119,0.739,1.688,41.257,19.931,0.0,23.659,24.438,23.659,18.42,7.823,8.812,7.571,5.19,4.023,26.047,0.241,0.752,0.611,14.115,12.173,7.806,0.241
