,name,clock tower,darshanlal chowk,saharanpur chowk,isbt dehradun,graphic era hill university,asley hall,matawala bagh,daudwala,mathurawala,vishnupuram,bangali kothi,kargi chowk,ranipokhri,doiwala,lachiwala,kuanwala,harawala,miawala,mokampur,jogiwala,rispana,gujraunwala,raipur chowk,dobhal chowk,6 no. pulia,ring road,post office nehru gram,graphic era hill university/gehu,hathibadkala,garhi cant,vijay coloney,chir bagh,cm house,ongc chowk,ballupur chowk,gms road,rajender nagar,yamuna coloney,bindal pul,kishan nagar,blood bank,supply,it park dehradun,nala paani chowk,shastdhara crossing,ladpur,fountain chowk rispana,fountain chowk,nehru colony,kargi,nakrounda more,naya gaon palio,badowala,telpur,mehuwala,race course,dharampur,mata mandir,balbir road,rajpur,great value,dilaram bazar,nanni bakery dehradun,survey chowk,dwarka store,araghar,kulhal,vikasnagar,tehsil,harbatpur chowk,langa road,shaspur,selaqui,sudhowala,nanda ki chowki,premnagar,panditwari,vasant vihar,selaqui chowk,baliwala chowk,bahuwala raja road,raja road,bansiwala,manduwala,prem nagar,balliwala chowk
10,bangali kothi,1.481,1.324,0.916,4.524,5.527,1.998,1.31,6.053,3.412,3.17,0.0,2.872,22.374,17.32,15.792,1.119,5.314,4.36,5.901,4.059,3.843,1.119,5.989,4.295,0.444,3.903,6.147,6.271,2.505,1.902,2.054,0.341,0.662,1.095,0.557,2.648,3.27,1.685,1.685,1.685,0.99,8.411,7.271,0.806,0.474,0.242,0.222,2.074,2.257,2.872,12.422,30.477,8.083,4.958,5.168,0.799,2.482,8.547,1.746,9.278,1.033,3.394,,2.074,0.799,1.393,41.09,19.875,1.085,23.551,24.084,23.551,18.258,7.586,8.694,7.377,5.019,3.789,25.921,1.324,0.617,0.604,13.869,12.449,7.57,1.324
11,kargi chowk,4.353,4.193,3.274,2.488,2.831,4.862,2.963,3.38,2.056,0.877,2.872,0.0,21.767,15.771,14.41,3.756,5.416,4.431,5.475,4.009,2.407,3.756,7.376,5.691,2.857,5.607,8.979,3.555,2.345,0.978,1.81,2.807,2.9,1.796,3.417,4.21,5.632,4.425,4.425,4.425,3.842,11.282,10.054,2.237,2.474,2.629,2.856,4.849,3.263,0.0,11.709,31.155,7.014,4.315,4.764,3.476,3.4,11.418,3.563,12.121,3.884,6.23,,4.849,3.476,3.241,40.926,20.155,3.956,23.647,23.507,23.647,18.282,7.836,9.165,7.762,5.777,4.689,25.95,4.193,3.336,3.432,13.764,13.704,7.824,4.193
12,ranipokhri,22.858,22.675,23.289,23.882,22.891,22.788,23.57,19.885,23.818,22.592,22.374,21.767,0.0,8.756,8.744,23.351,17.065,18.017,16.531,18.342,19.373,23.351,17.672,18.741,21.937,19.381,25.775,23.052,20.093,21.832,23.254,22.669,22.998,21.945,22.406,25.007,25.33,23.586,23.586,23.586,22.442,26.076,23.402,22.622,22.498,22.308,22.156,22.211,20.123,21.767,10.061,52.807,28.465,26.076,26.532,21.986,19.9,25.979,20.789,25.183,22.442,22.832,,22.211,21.986,21.054,62.487,41.921,22.642,45.398,44.795,45.398,40.031,29.559,30.836,29.445,27.235,26.014,47.676,22.675,22.079,22.766,35.503,34.801,29.546,22.675
13,doiwala,18.273,18.064,18.19,17.372,16.031,18.412,18.258,13.049,17.665,16.451,17.32,15.771,8.756,0.0,1.803,18.427,12.61,13.274,11.683,13.44,13.634,18.427,14.641,14.933,16.939,15.577,22.282,15.987,14.818,16.168,17.516,17.536,17.826,16.56,17.55,19.709,20.574,18.866,18.866,18.866,17.739,23.429,20.943,17.282,17.274,17.175,17.129,17.927,15.3,15.771,6.352,46.692,21.638,19.813,20.326,17.212,15.112,23.414,16.127,23.118,17.755,18.975,,17.927,17.212,16.261,55.19,35.457,17.947,38.662,37.377,38.662,33.351,23.477,24.849,23.455,21.547,20.427,40.82,18.064,17.241,17.849,28.866,29.464,23.468,18.064
14,lachiwala,16.683,16.476,16.677,16.157,14.91,16.796,16.781,11.888,16.359,15.131,15.792,14.41,8.744,1.803,0.0,16.887,10.944,11.654,10.054,11.844,12.19,16.887,12.876,13.227,15.398,13.876,20.594,14.935,13.3,14.739,16.115,16.022,16.321,15.081,15.992,18.241,19.025,17.299,17.299,17.299,16.161,21.683,19.179,15.802,15.773,15.658,15.594,16.296,13.716,14.41,4.55,45.478,20.545,18.551,19.053,15.639,13.521,21.663,14.529,21.342,16.175,17.304,,16.296,15.639,14.682,54.319,34.308,16.37,37.594,36.53,37.594,32.256,22.193,23.55,22.149,20.165,19.018,39.791,16.476,15.678,16.304,27.746,28.053,22.183,16.476
15,kuanwala,1.006,1.022,0.525,4.948,6.188,1.55,1.131,7.057,3.75,3.855,1.119,3.756,23.351,18.427,16.887,0.0,6.29,5.374,6.945,5.102,4.959,0.0,6.57,4.963,1.489,4.468,5.241,6.925,3.618,2.842,2.456,0.995,0.859,2.108,0.945,1.869,2.153,0.677,0.677,0.677,1.019,7.634,6.8,1.52,1.327,1.305,1.298,1.938,3.248,3.756,13.446,29.564,7.916,4.806,4.902,1.376,3.465,7.791,2.571,8.659,1.04,2.931,,1.938,1.376,2.298,40.395,19.09,0.881,22.807,23.557,22.807,17.556,6.945,7.951,6.697,4.316,3.142,25.192,1.022,1.272,0.591,13.24,11.451,6.928,1.022
16,harawala,5.875,5.679,6.228,7.889,7.707,5.908,6.544,5.777,7.367,6.29,5.314,5.416,17.065,12.61,10.944,6.29,0.0,1.016,1.069,1.421,3.272,6.29,3.087,2.446,4.875,3.038,9.677,8.256,3.231,5.106,6.464,5.618,5.949,5.006,5.346,7.957,8.321,6.567,6.567,6.567,5.412,11.018,8.757,5.631,5.47,5.261,5.094,5.379,3.059,5.416,7.183,35.787,12.412,9.542,9.913,4.934,2.835,11.039,3.746,11.033,5.417,6.365,,5.379,4.934,3.992,46.152,25.097,5.618,28.714,28.865,28.714,23.379,12.722,13.919,12.559,10.26,9.026,31.061,5.679,5.019,5.703,18.912,17.74,12.708,5.679
17,miawala,5.045,4.842,5.276,6.913,6.823,5.142,5.562,5.15,6.36,5.3,4.36,4.431,18.017,13.274,11.654,5.374,1.016,0.0,1.602,0.423,2.419,5.374,3.489,2.321,3.927,2.76,9.106,7.406,2.215,4.091,5.448,4.652,4.981,3.998,4.439,6.99,7.451,5.701,5.701,5.701,4.547,10.642,8.537,4.635,4.488,4.291,4.143,4.654,2.127,4.431,8.072,34.811,11.41,8.527,8.897,4.046,1.912,10.686,2.889,10.818,4.557,5.771,,4.654,4.046,3.088,45.136,24.092,4.756,27.703,27.853,27.703,22.366,11.714,12.919,11.554,9.266,8.034,30.048,4.842,4.113,4.784,17.896,16.807,11.699,4.842
18,mokampur,6.646,6.442,6.814,7.872,7.461,6.742,7.049,5.198,7.508,6.349,5.901,5.475,16.531,11.683,10.054,6.945,1.069,1.602,0.0,1.843,3.124,6.945,4.079,3.506,5.477,4.08,10.646,7.939,3.563,5.354,6.765,6.176,6.499,5.415,6.017,8.499,9.041,7.294,7.294,7.294,6.143,12.059,9.822,6.093,5.982,5.81,5.688,6.245,3.707,5.475,6.527,36.276,12.477,9.742,10.151,5.635,3.5,12.085,4.49,12.099,6.153,7.317,,6.245,5.635,4.675,46.384,25.466,6.352,29.031,28.98,29.031,23.677,13.078,14.324,12.943,10.705,9.483,31.357,6.442,5.694,6.354,19.179,18.346,13.065,6.442
19,jogiwala,4.839,4.632,4.973,6.491,6.408,4.978,5.228,4.813,5.947,4.879,4.059,4.009,18.342,13.44,11.844,5.102,1.421,0.423,1.843,0.0,2.023,5.102,3.829,2.532,3.634,2.895,9.033,6.998,1.819,3.688,5.058,4.339,4.664,3.632,4.178,6.669,7.207,5.465,5.465,5.465,4.32,10.659,8.628,4.286,4.156,3.974,3.846,4.519,1.875,4.009,8.364,34.473,10.994,8.123,8.499,3.804,1.676,10.712,2.688,10.905,4.332,5.702,,4.519,3.804,2.844,44.743,23.724,4.529,27.325,27.444,27.325,21.983,11.34,12.557,11.187,8.914,7.685,29.666,4.632,3.857,4.512,17.507,16.507,11.326,4.632
