,name,clock tower,darshan lal chowk,saharanpur chowk,isbt dehradun,graphic era hill university,astley hall,matawala bagh,daudwala,mathurawala,vishnupuram,bangali kothi,kargi chowk,rani pokhri,doiwala,lachiwala,kuanwala,harawala,miawala,mokampur,jogiwala,rispana,gujraunwala,raipur chowk,dobhal chowk,6 no. pulia,ring road,post office nehru gram,graphic era hill university (gehu),hathibadkala,garhi cantt,vijay colony,chir bagh,cm house,ongc chowk,ballupur chowk,gms road,rajender nagar,yamuna colony,bindal pul,kishan nagar,blood bank,supply,it park dehradun,nala paani chowk,shastdhara crossing,ladpur,fountain chowk rispana,fountain chowk,nehru colony,kargi,nakrounda more,naya gaon palio,badowala,telpur,mehuwala,race course,dharampur,mata mandir,balbir road,rajpur,great value,dilaram bazar,nanni bakery dehradun,survey chowk,dwarka store,araghar,kulhal,vikas nagar,tehsil,harbatpur chowk,langa road,shaspur,selaqui,sudhowala,nanda ki chowki,premnagar,panditwari,vasant vihar,selaqui chowk,baliwala chowk,bahuwala raja road,raja road,bansiwala,manduwala,prem nagar,balliwala chowk
30,vijay colony,1.0,1.0,69.0,5.0,9.0,3000.0,3000.0,1.61,1.61,N/A,4.0,9.0,28.0,N/A,6.0,11.0,4.0,13.0,7.0,5.0,4.0,419.0,1073.0,3000.0,0.0,3000.0,1.0,9.0,1.0,7.04,0,3000.0,N/A,1.0,6.0,3000.0,1.0,3.0,3000.0,3000.0,3000.0,0.0,3.0,3000.0,6.0,7.0,1.0,N/A,1.0,551.0,3000.0,3000.0,7.0,7.0,14.0,0.0,261.0,1.0,3000.0,4.0,1.0,1.0,3000.0,3000.0,3000.0,0.0,0.0,37.0,3000.0,3000.0,N/A,0.0,20.0,13.0,9.0,11.0,83.0,4.0,20.0,0.8,25.0,3000.0,1.0,16.0,11.0,2.0
31,chir bagh,1.0,1.0,69.0,5.0,9.0,3000.0,0.8,1.0,0.0,201.0,4.0,4.0,28.0,20.0,6.0,11.0,4.0,13.0,7.0,5.0,4.0,419.0,1073.0,1.0,3000.0,N/A,7.0,9.0,5.0,6.0,1.0,0,0.0,6.0,4.0,3.0,1.0,3.0,1400.0,1.0,1.0,0.0,3.0,1.1,4.0,0.0,1.0,1.0,4.0,4.0,3000.0,1.0,7.0,7.0,334.0,3000.0,243.0,170.4,3.0,3.0,3000.0,1354.0,3000.0,3000.0,247.0,1.0,0.0,11.0,3000.0,3000.0,3000.0,27.0,20.0,13.0,9.0,285.0,83.0,4.0,21.0,1.6,15.0,3000.0,N/A,16.0,267.0,4.0
32,cm house,1.0,3000.0,N/A,5.0,9.0,3000.0,N/A,0.0,0.0,0.0,5.0,4.0,28.0,19.0,6.0,11.0,4.0,13.0,7.0,5.0,4.0,419.0,1073.0,3000.0,0.0,0.0,7.0,8.0,N/A,7.0,0.0,0.0,0,N/A,3.0,3.0,3000.0,3.0,0.0,3000.0,3000.0,0.0,3.0,3000.0,15.0,0.0,0.0,3000.0,1.0,4.0,3000.0,1.0,7.0,N/A,334.0,N/A,1288.0,8.0,N/A,4.0,3000.0,0.0,3000.0,3.0,258.0,0.0,0.0,37.0,N/A,0.0,3000.0,27.0,21.0,13.0,9.0,827.0,83.0,1.0,21.0,3000.0,15.0,3000.0,0.0,16.0,827.0,2.0
33,ongc chowk,3.0,N/A,N/A,4.0,N/A,3000.0,N/A,3000.0,3000.0,3000.0,1.0,4.0,28.0,20.0,6.0,11.0,10.0,3000.0,7.0,5.0,N/A,419.0,15.0,3000.0,3000.0,3000.0,3000.0,9.0,N/A,0.8,3000.0,3000.0,3000.0,0,5.0,2.0,0.9,3.0,3000.0,1.0,3000.0,3000.0,3.0,1.0,15.0,3000.0,3000.0,3000.0,1.0,4.0,3000.0,3000.0,7.0,N/A,201.0,1.0,243.0,N/A,3000.0,9.0,3000.0,8.0,3000.0,5.0,3000.0,3000.0,3000.0,37.0,N/A,3000.0,3000.0,3000.0,21.0,12.0,8.0,N/A,83.0,3.0,21.0,2.0,N/A,4.0,3000.0,18.0,285.0,2.0
34,ballupur chowk,2.0,5.0,4.0,6.0,N/A,3.0,1.0,3.0,3.0,1.0,7.0,6.0,28.0,20.0,22.0,11.0,3.0,N/A,7.0,5.0,7.0,419.0,9.0,5.0,3.0,N/A,3.0,9.0,7.0,6.0,6.0,3.0,3.0,5.0,0,3.0,3.0,0.3,2.0,1.6,1.0,3.0,11.0,3.0,N/A,3.0,1.0,3.0,7.0,6.0,1.0,1.0,7.0,111.0,7.0,4.0,243.0,1.0,3.0,6.0,3.0,3.0,3.0,4.0,N/A,N/A,3.0,37.0,3.0,32.0,26.0,185.0,18.0,8.0,10.0,5.0,3.0,2.0,18.0,4.0,21.0,3.0,3.0,13.0,5.0,2.0
35,gms road,5.0,3.0,69.0,6.0,9.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,28.0,19.0,8.0,11.0,10.0,13.0,7.0,5.0,7.0,419.0,1073.0,1.0,3000.0,3.0,0.8,9.0,0.6,8.0,N/A,4.0,0.0,2.0,2.0,0,3.0,3.0,1400.0,3000.0,3.0,3.0,3.0,0.7,15.0,10.0,237.0,3.0,1.0,3.0,13.0,3000.0,7.0,7.0,334.0,4.0,189.0,3000.0,3.0,11.0,3.0,3000.0,3.0,2.0,247.0,0.0,3.0,37.0,3.0,3000.0,3.0,27.0,20.0,13.0,8.0,827.0,N/A,1.0,N/A,1.0,1.0,3.0,N/A,N/A,7.0,724.0
36,rajender nagar,3.0,440.0,N/A,7.0,9.0,2.0,0.8,1.0,399.0,1.0,1.0,4.0,28.0,20.0,6.0,11.0,10.0,13.0,7.0,5.0,6.0,419.0,1073.0,1.0,3000.0,1.0,3.0,9.0,1.0,0.9,3000.0,3000.0,1.0,4.0,3.0,3.0,0,117.0,1.0,N/A,1.8,1.0,3.0,0.8,15.0,1.0,1.0,3.0,0.8,7.0,N/A,7.0,7.0,7.0,N/A,2345.0,243.0,1.0,N/A,4.0,1.0,N/A,1.0,1.0,N/A,3.0,1.0,36.0,N/A,3000.0,3000.0,27.0,21.0,13.0,9.0,N/A,83.0,1.0,21.0,0.8,25.0,3.0,1.0,1.0,7.0,0.8
37,yamuna colony,111.0,3000.0,69.0,6.0,9.0,3000.0,3000.0,3000.0,3000.0,3000.0,4.0,4.0,28.0,19.0,7.0,11.0,15.0,3000.0,7.0,5.0,4.0,419.0,9.0,1.0,3000.0,3000.0,0.8,9.0,3000.0,6.0,3.0,1.0,3.0,3000.0,0.3,3.0,N/A,0,3000.0,1.6,4.0,3.0,3.0,1.6,15.0,6.0,3000.0,3000.0,3.0,7.0,3000.0,N/A,7.0,9.0,334.0,3.0,261.0,1.0,3000.0,169.0,3.0,1.6,3000.0,3000.0,3000.0,3000.0,3.0,233.0,3.0,3000.0,3000.0,27.0,20.0,10.0,9.0,N/A,N/A,4.0,21.0,3000.0,25.0,3000.0,3000.0,3.0,7.0,0.8
38,bindal pul,1.0,201.0,1.0,6.0,9.0,1.0,3000.0,1.0,399.0,7.0,N/A,4.0,28.0,20.0,19.0,11.0,10.0,13.0,7.0,5.0,7.0,419.0,1073.0,1.0,3000.0,1.0,1385.0,9.0,3000.0,7.0,3000.0,3000.0,0.0,3000.0,3.0,3000.0,N/A,3.0,0,1.6,1400.0,1400.0,3.0,1.1,4.0,3000.0,N/A,3.0,1.0,1.0,N/A,3000.0,7.0,7.0,N/A,1400.0,243.0,170.4,1.0,2.0,1.0,1.0,1.0,3.0,258.0,1.0,1.0,37.0,1400.0,3000.0,3000.0,27.0,21.0,13.0,9.0,827.0,83.0,254.0,21.0,3.0,25.0,1.0,3000.0,16.0,7.0,2.0
39,kishan nagar,1.0,N/A,69.0,5.0,9.0,1.0,1.0,440.0,399.0,N/A,4.0,4.0,28.0,20.0,6.0,11.0,4.0,10.0,7.0,5.0,4.0,419.0,11.0,1.0,3000.0,3000.0,440.0,9.0,N/A,1.7,3000.0,3000.0,0.0,1.0,4.0,3000.0,0.9,3.0,1.0,0,1354.0,0.8,3.0,6.0,N/A,N/A,1.0,3000.0,1.0,4.0,3000.0,3000.0,7.0,7.0,1.0,1.6,243.0,163.0,N/A,5.0,3000.0,440.0,1.0,3000.0,273.0,N/A,3000.0,37.0,440.0,N/A,3000.0,27.0,21.0,13.0,N/A,285.0,83.0,4.0,21.0,13.0,15.0,2.0,1.0,18.0,6.0,2.0
40,blood bank,1.0,41.4,68.3,5.0,9.0,0.0,0.0,3000.0,0.0,1.0,5.0,4.0,28.0,19.0,7.0,11.0,10.0,13.0,7.0,5.0,4.0,419.0,1073.0,1.0,3000.0,201.0,7.0,9.0,5.0,6.0,3000.0,201.0,3000.0,3000.0,3.0,3.0,1.8,3.0,N/A,4.0,0,201.0,3.0,14.2,15.0,3000.0,N/A,3000.0,1.0,N/A,3000.0,201.0,7.0,N/A,334.0,6.0,189.0,198.0,201.0,4.0,201.0,N/A,N/A,N/A,247.0,1.0,0.0,37.0,1.0,1.0,3000.0,27.0,N/A,13.0,9.0,827.0,N/A,N/A,21.0,2.0,N/A,6.0,12.0,16.0,7.0,N/A
41,supply,1.0,3.0,2.0,5.0,9.0,1.0,0.8,201.0,373.0,1.0,5.0,4.0,28.0,19.0,6.0,11.0,10.0,13.0,7.0,5.0,7.0,419.0,1073.0,1.0,N/A,1.36,7.0,9.0,N/A,N/A,N/A,1.0,1.0,6.0,4.0,3.0,3.0,3.0,1400.0,0.8,201.0,0,3.0,1.1,15.0,7.0,3.0,1.61,26.0,N/A,13.0,3000.0,7.0,7.0,334.0,6.0,189.0,170.4,1.0,4.0,201.0,2.0,237.0,2.0,247.0,1.0,201.0,37.0,1.0,0.0,1.0,27.0,21.0,13.0,9.0,285.0,83.0,254.0,20.0,2.0,15.0,6.0,12.0,16.0,4.0,2.0
42,it park dehradun,7.0,18.0,69.0,15.0,10.0,3.0,N/A,3.0,3.0,3.0,5.0,4.0,N/A,20.0,22.0,11.0,15.0,N/A,7.0,11.0,11.0,3.0,1073.0,1.0,N/A,3.0,3.0,9.0,14.0,7.0,3.0,172.0,3.0,6.0,11.0,3.0,3.0,3.0,1400.0,3.0,1.0,3.0,0,238.0,2.0,3.0,3.0,1.0,3.0,4.0,13.0,1.0,7.0,7.0,18.0,9.0,243.0,8.0,9.0,N/A,9.0,3.0,3.0,3.0,247.0,9.0,9.0,37.0,3.0,3.0,3.0,27.0,30.0,13.0,9.0,16.0,14.0,1.0,30.0,12.0,15.0,3.0,3.0,3.0,16.0,12.0
43,nala paani chowk,3000.0,N/A,69.0,N/A,9.0,N/A,3000.0,3000.0,3000.0,N/A,922.0,4.0,3000.0,N/A,22.0,11.0,4.0,0.0,7.0,1.0,0.0,419.0,1073.0,5.0,N/A,4.1,0.8,3000.0,3000.0,0.8,1.0,3000.0,3000.0,0.9,4.0,14.2,0.9,3.0,1.0,1.0,201.0,0.8,1.0,0,15.0,1.1,3000.0,N/A,1.1,4.0,1.0,3000.0,15.0,3.4,3000.0,1.2,189.0,1.0,1.0,961.0,3000.0,1.0,6.0,1.0,247.0,1.0,1.0,233.0,N/A,1.0,3000.0,27.0,21.0,13.0,9.0,827.0,83.0,1.0,21.0,0.8,N/A,0.8,1.0,376.0,5.2,N/A
44,shastdhara crossing,7.0,20.3,69.0,13.0,9.0,7.0,1.0,1.0,15.0,8.0,N/A,8.0,28.0,27.0,6.0,11.0,8.0,12.0,N/A,15.0,4.0,419.0,12.0,20.3,1.0,N/A,1.1,9.0,1.0,12.0,6.0,15.0,1.0,6.0,7.0,11.0,1.0,3.0,1400.0,20.4,1.0,5.0,2.0,9.0,0,7.0,1.0,3.0,9.0,8.0,15.0,1.0,7.0,1.0,334.0,12.0,261.0,8.0,1.1,10.0,15.0,8.0,9.0,1.0,247.0,1.0,15.0,37.0,15.0,36.0,1.0,185.0,21.0,13.0,14.0,N/A,83.0,11.0,21.0,N/A,15.0,15.0,N/A,21.0,13.0,21.0
45,ladpur,1.0,N/A,69.0,11.0,9.0,0.0,0.0,0.0,399.0,201.0,5.0,4.0,28.0,20.0,6.0,11.0,10.0,13.0,N/A,5.0,4.0,419.0,1.0,0.0,0.0,N/A,5.0,9.0,0.0,6.0,0.0,0.0,0.0,3000.0,3.0,10.0,3000.0,6.0,3000.0,7.0,3000.0,7.0,3.0,3000.0,10.0,0,3000.0,1.0,1.5,1.61,0.0,3000.0,7.0,7.0,0.0,7.0,189.0,8.0,1.1,4.0,0.0,201.0,3000.0,2.0,7.0,1.61,0.0,37.0,7.0,1.0,0.0,N/A,21.0,13.0,9.0,285.0,4.0,1.0,N/A,1.0,15.0,1.0,0.0,0.0,7.0,0.8
46,fountain chowk rispana,N/A,3000.0,69.0,7.0,3000.0,N/A,3000.0,3000.0,N/A,3000.0,3000.0,3000.0,3000.0,20.0,3000.0,3000.0,3000.0,N/A,3000.0,3000.0,0.0,419.0,1073.0,3000.0,N/A,3000.0,3000.0,3000.0,3000.0,3000.0,N/A,3000.0,3000.0,N/A,N/A,3000.0,N/A,3000.0,3000.0,N/A,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,7.0,1.0,3000.0,3000.0,1.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,233.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,267.0,3000.0,N/A,20.0,3000.0,3000.0,3000.0,N/A,3000.0,267.0,3000.0
47,fountain chowk,1.0,201.0,69.0,5.0,0.9,3000.0,N/A,3.0,345.0,1.0,1.0,4.0,28.0,20.0,19.0,11.0,N/A,13.0,7.0,5.0,4.0,419.0,1073.0,5.0,N/A,4.1,65.0,9.0,7.0,7.0,3000.0,3000.0,3000.0,6.0,3.0,3.0,3.0,3.0,1.0,2.0,201.0,0.0,3.0,1.1,15.0,10.0,3.0,0,3.0,4.0,3000.0,1.0,7.0,7.0,334.0,1.2,1488.0,170.4,0.5,4.0,1.0,1.0,1.0,2.0,247.0,N/A,0.0,37.0,3000.0,32.0,3000.0,27.0,21.0,N/A,9.0,285.0,83.0,1.0,21.0,11.0,19.0,1.0,0.0,16.0,285.0,2.0
48,nehru colony,N/A,N/A,69.0,7.0,9.0,3.0,1.0,5.0,1.0,1.0,4.0,4.0,28.0,19.0,6.0,11.0,6.0,13.0,4.0,5.0,4.0,N/A,1072.16,1.0,4.0,1.0,1.0,9.0,7.0,N/A,1.0,2.0,1.0,6.0,7.0,1.0,4.55,3.0,1400.0,0.9,1.0,1.0,3.0,1.1,15.0,5.0,3.0,3.3,0,4.0,13.0,24.0,7.0,10.0,334.0,2.0,0.0,1.37,1.0,4.0,4.0,0.9,1.0,3.0,247.0,1.2,1.0,233.0,1.0,32.0,3000.0,27.0,16.0,9.0,9.0,827.0,1.0,8.0,N/A,0.8,25.0,1.0,1.0,16.0,285.0,0.8
49,kargi,5.0,4.0,69.0,2.0,9.0,N/A,N/A,N/A,0.0,201.0,4.3,4.0,28.0,20.0,22.0,11.0,4.0,13.0,7.0,5.0,3.0,419.0,10.0,4.0,0.0,N/A,N/A,N/A,5.0,9.0,551.0,0.0,4.0,4.0,6.0,3.0,7.0,3.0,1400.0,3000.0,4.0,4.0,3.0,7.0,15.0,0.0,4.0,4.0,4.0,0,1.0,1.0,10.0,7.0,4.3,4.0,4.0,8.0,3000.0,6.0,N/A,0.0,4.0,6.0,247.0,1.0,4.0,37.0,1.0,4.0,4.0,27.0,21.0,13.0,9.0,10.0,7.0,10.0,26.0,10.0,15.0,4.0,4.0,20.0,10.0,6.0
50,nakrounda more,11.0,1.0,69.0,5.0,9.0,3000.0,3000.0,N/A,1.0,1.0,4.0,4.0,28.0,19.0,6.0,11.0,4.0,0.0,7.0,5.0,1.61,419.0,1073.0,1.0,3000.0,1.0,7.0,9.0,201.0,7.0,3000.0,3000.0,0.0,6.0,1.0,3.0,1.0,3.0,1.0,440.0,0.0,0.0,3.0,6.0,4.0,201.0,3000.0,3000.0,N/A,0.0,0,24.0,N/A,7.0,334.0,14142.0,N/A,170.4,3000.0,N/A,3000.0,201.0,3000.0,3000.0,273.0,1.61,0.0,37.0,0.0,N/A,3000.0,27.0,21.0,13.0,9.0,827.0,83.0,254.0,21.0,1.0,15.0,1.0,1.0,16.0,827.0,4.0
51,naya gaon palio,4.0,201.0,69.0,11.0,9.0,3000.0,3000.0,N/A,399.0,201.0,1.0,N/A,3000.0,20.0,3000.0,11.0,8.0,13.0,7.0,5.0,4.0,419.0,1073.0,N/A,N/A,N/A,1.0,9.0,3000.0,1.0,N/A,0.0,3000.0,3000.0,3.0,1.0,N/A,1.0,1.0,1.0,1.0,N/A,3.0,201.0,3000.0,1.0,3000.0,3000.0,1.0,3000.0,3000.0,0,7.0,3000.0,1.0,1.0,261.0,N/A,1.0,4.0,3000.0,1.0,24.0,3000.0,247.0,3000.0,201.0,233.0,3000.0,3000.0,3000.0,185.0,21.0,13.0,9.0,827.0,83.0,1.0,21.0,13.0,21.0,N/A,3000.0,1.0,267.0,3000.0
52,badowala,13.0,201.0,69.0,7.0,9.0,0.0,7.0,7.0,7.0,7.0,5.0,10.0,N/A,20.0,7.0,11.0,7.0,7.0,N/A,15.0,13.0,7.0,7.0,7.0,7.0,7.0,N/A,9.0,7.0,2.5,0.0,N/A,7.0,6.0,3.0,7.0,7.0,3.0,7.0,7.0,7.0,N/A,3.0,15.0,15.0,7.0,8.0,1.0,4.0,10.0,7.0,1.0,0,7.0,5.0,N/A,7.0,1.0,7.0,7.0,7.0,7.0,N/A,7.0,7.0,7.0,7.0,N/A,7.0,7.0,0.0,7.0,21.0,13.0,9.0,7.0,7.0,0.0,21.0,7.0,7.0,7.0,N/A,7.0,4.4,55.0
53,telpur,1.0,201.0,69.0,3.0,9.0,N/A,N/A,1.0,399.0,N/A,N/A,4.0,28.0,20.0,6.0,11.0,10.0,13.0,7.0,5.0,10.0,419.0,1072.16,0.0,3000.0,7.0,7.0,9.0,13.0,6.0,1.61,0.0,1.0,3000.0,3.0,7.0,1.0,9.0,1400.0,N/A,7.0,7.0,3.0,3.4,15.0,7.0,0.0,3.0,10.0,4.0,0.0,1.0,7.0,0,334.0,7.0,189.0,7.0,7.0,16.0,7.0,N/A,7.0,9.0,7.0,7.0,201.0,36.0,7.0,1.61,1.0,27.0,21.0,13.0,9.0,285.0,83.0,1.0,20.0,1.0,15.0,7.0,N/A,16.0,285.0,12.0
54,mehuwala,4.0,1.0,68.0,3.0,9.0,N/A,334.0,5.0,5.0,5.0,5.0,4.0,28.0,19.0,5.0,11.0,17.0,5.0,15.0,5.0,4.0,334.0,19.0,5.0,3000.0,5.0,334.0,N/A,0.0,506.0,14.0,0.0,1.0,6.0,7.0,N/A,1.0,3.0,1400.0,1.0,4.3,5.0,18.0,3.4,15.0,1.0,1.0,1.0,334.0,4.3,334.0,1.0,7.0,7.0,0,N/A,10.0,8.0,3000.0,4.0,5.0,18.0,N/A,12.0,247.0,4.3,N/A,36.0,5.0,0.0,0.0,5.0,21.0,11.0,9.0,6.0,83.0,6.0,21.0,N/A,25.0,5.0,334.0,5.0,6.0,2.0
55,race course,1.0,41.4,2.0,6.0,N/A,1.0,0.8,38.0,373.0,1.0,4.0,4.0,28.0,19.0,6.0,11.0,N/A,9.0,7.0,5.0,4.0,419.0,1073.0,5.0,3000.0,1.2,7.0,10.0,6.0,6.0,2.98,1.0,0.0,6.0,4.0,4.0,3.0,3.0,1400.0,1.6,201.0,142.2,3.0,N/A,15.0,N/A,1.2,1.2,2.0,4.0,13.0,7.0,7.0,7.0,5.0,0,1.0,5.0,1.1,4.0,2.0,0.4,243.0,1.0,247.0,1.2,238.0,37.0,1.2,1.0,1.0,27.0,21.0,13.0,11.0,10.0,83.0,1.0,20.0,4.0,15.0,N/A,1.0,16.0,11.0,4.0
56,dharampur,3.0,189.0,69.0,7.0,9.0,1.0,189.0,189.0,189.0,N/A,3.0,4.0,28.0,20.0,22.0,11.0,10.0,13.0,4.0,5.0,4.0,419.0,6.0,189.0,3000.0,189.0,189.0,9.0,5.0,6.0,189.0,189.0,189.0,N/A,3.0,3.0,234.1,N/A,1400.0,189.0,189.0,189.0,N/A,1.1,15.0,189.0,3.0,3.0,1.0,4.0,189.0,1.0,7.0,7.0,10.0,1.0,0,5.0,189.0,9.0,189.0,5.0,189.0,3.0,189.0,189.0,189.0,37.0,189.0,189.0,189.0,27.0,25.0,13.0,13.0,285.0,83.0,8.0,25.0,3.0,15.0,N/A,189.0,189.0,285.0,0.8
57,mata mandir,1.0,N/A,69.0,5.0,9.0,3000.0,0.8,1.0,13.0,501.0,5.0,4.0,28.0,20.0,22.0,11.0,13.0,13.0,7.0,5.0,4.0,419.0,1073.0,1.0,N/A,8.0,7.0,9.0,5.0,7.0,3000.0,1.0,3000.0,3000.0,3.0,3.0,3.0,3.0,1.0,N/A,201.0,N/A,N/A,1.1,15.0,10.0,3.3,3.0,1.0,0.8,1.0,12.0,7.0,7.0,8.0,16.0,2.1,0,0.8,6.0,N/A,27.44,7.7,1.27,N/A,1.0,201.0,37.0,1.0,1.0,3000.0,27.0,20.0,12.0,N/A,285.0,83.0,1.0,21.0,2.0,25.0,6.0,13.0,16.0,285.0,2.0
58,balbir road,1.0,41.4,N/A,N/A,9.0,3000.0,1.0,1.0,437.0,1.0,N/A,4.0,28.0,19.0,6.0,N/A,10.0,N/A,7.0,N/A,1.0,419.0,1073.0,N/A,N/A,237.0,N/A,9.0,1.0,7.0,N/A,N/A,3000.0,N/A,3.0,3.0,5.0,3.0,1.0,3000.0,201.0,3000.0,N/A,1.9,N/A,7.0,1.0,1.0,1.0,N/A,3000.0,3000.0,7.0,7.0,334.0,1.1,243.0,N/A,0,8.0,3000.0,1.0,238.0,3000.0,247.0,1.0,N/A,37.0,3.0,32.0,3000.0,27.0,21.0,N/A,N/A,11.0,83.0,1.0,20.0,1.0,15.0,1.0,N/A,N/A,11.0,2.0
59,rajpur,4.0,961.0,2.0,N/A,10.0,1.0,0.0,4.0,961.0,961.0,9.0,6.0,28.0,20.0,16.0,11.0,10.0,13.0,961.0,10.0,7.0,N/A,1073.0,0.0,0.0,4.0,961.0,8.0,3.0,5.0,4.0,961.0,961.0,10.0,6.0,11.0,3.0,3.0,2.0,5.0,961.0,961.0,N/A,961.0,N/A,961.0,1.0,1.0,26.0,6.0,961.0,N/A,N/A,16.0,334.0,N/A,961.0,961.0,8.0,0,961.0,961.0,961.0,1.0,247.0,961.0,961.0,37.0,961.0,36.0,N/A,27.0,N/A,16.0,10.0,9.0,6.0,6.0,20.0,9.0,15.0,4.0,763.0,16.0,9.0,9.0
60,great value,1.0,201.0,69.0,5.0,9.0,1.0,N/A,201.0,0.0,201.0,4.0,4.0,N/A,N/A,N/A,11.0,N/A,13.0,7.0,5.0,4.0,419.0,1073.0,5.0,0.0,201.0,7.0,9.0,5.0,7.0,3000.0,N/A,3000.0,3000.0,3.0,3.0,3.0,3.0,1.0,3000.0,201.0,201.0,3.0,238.0,1116.0,7.0,0.0,N/A,4.0,4.0,13.0,N/A,7.0,7.0,334.0,7.0,189.0,8.0,3.0,4.0,0,N/A,1354.0,2.0,273.0,1.1,201.0,37.0,201.0,1.0,3000.0,27.0,21.0,13.0,9.0,285.0,83.0,4.0,21.0,2.0,15.0,238.0,10.4,16.0,7.0,2.0
61,dilaram bazar,1.0,1.0,69.0,8.0,N/A,1.0,N/A,201.0,18.0,1.0,5.0,4.0,28.0,19.0,6.0,11.0,10.0,13.0,7.0,6.0,4.0,6.0,1072.16,1.0,3000.0,1.0,4.1,9.0,5.0,3.0,3000.0,0.9,0.0,6.0,3.0,N/A,3.0,1.6,1.0,0.6,1.0,2.0,3.0,1.0,15.0,0.0,3.0,1.0,1.0,1.0,3000.0,N/A,7.0,7.0,334.0,0.4,189.0,1.0,1.0,6.0,5.0,0,1.0,2.0,247.0,0.8,0.0,37.0,3000.0,32.0,3000.0,27.0,21.0,13.0,9.0,10.0,83.0,0.6,20.0,0.6,N/A,N/A,N/A,18.0,10.0,3.0
62,nanni bakery dehradun,1.0,201.0,69.0,5.0,9.0,N/A,3000.0,3000.0,3000.0,201.0,922.0,4.0,3000.0,20.0,19.0,11.0,N/A,3000.0,1.0,5.0,4.0,419.0,1073.0,1.0,0.0,N/A,N/A,N/A,5.0,1.0,1.0,1354.0,3000.0,N/A,3.0,3.0,N/A,76.0,1.0,1.0,3000.0,238.0,3.0,1.0,15.0,1.0,3.0,N/A,1.0,4.0,14.0,1.0,7.0,1.0,3000.0,1.0,189.0,1.0,201.0,961.0,201.0,1.0,0,3000.0,N/A,238.0,11.0,233.0,1.0,32.0,3000.0,27.0,21.0,13.0,9.0,827.0,83.0,N/A,21.0,1.0,25.0,N/A,3000.0,18.0,7.0,1.0
63,survey chowk,1.0,1.0,N/A,7.0,9.0,3000.0,0.8,3.0,1696.0,1.0,4.0,5.0,28.0,20.0,6.0,11.0,1.0,13.0,7.0,6.0,3.0,3.0,4.0,N/A,0.0,3000.0,5.0,9.0,3.0,7.0,3000.0,237.0,3000.0,5.0,4.0,3000.0,1.0,3.0,3000.0,2.0,3000.0,2.0,3.0,3.0,1.0,0.0,3.0,3000.0,3.0,4.0,1.0,3000.0,7.0,9.0,12.0,1.0,3.0,238.0,3000.0,1.0,3000.0,2.0,3.0,0,247.0,2.0,1.0,37.0,2.0,3000.0,3000.0,185.0,23.0,12.0,9.0,9.0,83.0,5.0,20.0,2.0,15.0,3000.0,3.0,16.0,9.0,2.0
64,dwarka store,1.0,247.0,N/A,5.0,9.0,N/A,N/A,247.0,273.0,N/A,5.0,4.0,28.0,19.0,6.0,11.0,10.0,13.0,7.0,5.0,247.0,419.0,1073.0,1.0,3000.0,273.0,7.0,10.0,5.0,7.0,3000.0,273.0,273.0,6.0,3.0,3.0,N/A,3.0,273.0,1.0,273.0,247.0,3.0,N/A,15.0,247.0,3.0,3.0,1.0,1.0,13.0,3000.0,7.0,7.0,334.0,273.0,1288.0,170.4,3000.0,4.0,247.0,273.0,247.0,3000.0,0,247.0,273.0,37.0,247.0,36.0,3000.0,27.0,N/A,13.0,9.0,827.0,83.0,1.0,21.0,2.0,25.0,273.0,1.0,16.0,7.0,247.0
65,araghar,2.0,201.0,69.0,5.0,9.0,1.0,1.0,0.0,399.0,1.61,5.0,4.0,28.0,20.0,22.0,11.0,4.0,13.0,7.0,5.0,4.0,419.0,1073.0,N/A,3000.0,N/A,7.0,8.0,1.0,7.0,0.0,0.0,1.0,3000.0,3.0,237.0,1.0,N/A,N/A,440.0,17.12,1.1,3.0,1.1,15.0,4.69,1.0,3.0,1.2,4.0,0.0,1.0,7.0,7.0,334.0,N/A,189.0,5.0,1.0,4.0,1.0,1.1,201.0,2.0,N/A,0,1.61,37.0,N/A,1.0,0.0,27.0,21.0,13.0,9.0,N/A,83.0,1.0,20.0,5.0,15.0,1.0,1.0,N/A,N/A,5.0
66,kulhal,1.0,201.0,69.0,5.0,10.0,1.0,N/A,1.61,201.0,N/A,5.0,4.0,28.0,20.0,22.0,11.0,10.0,13.0,7.0,5.0,7.0,419.0,1073.0,1.61,0.0,0.0,7.0,9.0,5.0,6.0,0.0,0.0,N/A,3000.0,1.0,3.0,1.0,3.0,1400.0,3000.0,237.0,N/A,3.0,1.1,15.0,0.0,1.0,N/A,4.0,4.0,0.0,1.0,7.0,7.0,334.0,14142.0,177.0,8.0,201.0,N/A,201.0,0.0,237.0,3.0,N/A,1.61,0,37.0,0.0,N/A,1.0,N/A,21.0,13.0,9.0,285.0,83.0,1.0,21.0,1.0,15.0,1.0,1.0,1.0,7.0,1.0
