,name,clock tower,darshan lal chowk,saharanpur chowk,isbt dehradun,graphic era hill university,astley hall,matawala bagh,daudwala,mathurawala,vishnupuram,bangali kothi,kargi chowk,rani pokhri,doiwala,lachiwala,kuanwala,harawala,miawala,mokampur,jogiwala,rispana,gujraunwala,raipur chowk,dobhal chowk,6 no. pulia,ring road,post office nehru gram,graphic era hill university (gehu),hathibadkala,garhi cantt,vijay colony,chir bagh,cm house,ongc chowk,ballupur chowk,gms road,rajender nagar,yamuna colony,bindal pul,kishan nagar,blood bank,supply,it park dehradun,nala paani chowk,shastdhara crossing,ladpur,fountain chowk rispana,fountain chowk,nehru colony,kargi,nakrounda more,naya gaon palio,badowala,telpur,mehuwala,race course,dharampur,mata mandir,balbir road,rajpur,great value,dilaram bazar,nanni bakery dehradun,survey chowk,dwarka store,araghar,kulhal,vikas nagar,tehsil,harbatpur chowk,langa road,shaspur,selaqui,sudhowala,nanda ki chowki,premnagar,panditwari,vasant vihar,selaqui chowk,baliwala chowk,bahuwala raja road,raja road,bansiwala,manduwala,prem nagar,balliwala chowk
10,bangali kothi,7.0,1.0,N/A,4.0,9.0,2.0,1.0,201.0,N/A,4.0,0,2.0,28.0,19.0,6.0,11.0,9.0,7.0,N/A,5.0,2.0,419.0,1073.0,4.0,N/A,4.0,1.0,9.0,1.61,7.0,1.0,N/A,4.0,4.0,7.0,4.0,1.0,3.0,1.0,4.0,1.0,N/A,3.0,1.0,15.0,1.0,1.0,4.0,7.0,2.0,13.0,1.0,7.0,4.0,334.0,4.0,3.0,109.0,1.0,9.0,4.0,N/A,4.0,4.0,247.0,5.0,4.0,37.0,4.0,1.0,3000.0,185.0,21.0,13.0,9.0,12.0,N/A,1.0,20.0,3.0,15.0,N/A,N/A,1.0,N/A,4.0
11,kargi chowk,5.0,4.0,69.0,2.0,9.0,N/A,1.0,3.0,1.61,4.0,2.0,0,N/A,19.0,6.0,11.0,4.0,10.0,7.0,5.0,3.0,4.0,10.0,4.0,0.0,4.0,4.0,9.0,201.0,4.0,551.0,1.0,4.0,6.0,6.0,3.0,7.0,3.0,N/A,N/A,4.0,4.0,12.0,7.0,8.0,1.0,3000.0,3000.0,4.0,4.0,1.0,N/A,10.0,111.0,334.0,4.0,4.0,5.0,1.0,5.0,4.0,3000.0,N/A,6.0,247.0,4.0,4.0,36.0,4.0,4.0,3000.0,4.0,N/A,13.0,9.0,10.0,7.0,10.0,21.0,10.0,25.0,1.0,10.0,20.0,11.0,10.0
12,rani pokhri,27.0,200.0,69.0,31.0,N/A,28.0,29.0,28.0,29.0,28.0,N/A,N/A,0,28.0,6.0,11.0,10.0,13.0,1.61,5.0,22.0,419.0,25.0,29.0,28.0,28.0,29.0,9.0,1.0,7.0,29.0,29.0,28.0,N/A,5.0,28.0,28.0,3.0,N/A,200.0,201.0,28.0,3.0,29.0,29.0,28.0,29.0,29.0,28.0,200.0,N/A,28.0,7.0,7.0,334.0,28.0,243.0,N/A,28.0,29.0,29.0,28.0,200.0,29.0,29.0,28.0,28.0,37.0,28.0,28.0,N/A,28.0,20.0,13.0,9.0,827.0,83.0,1.0,21.0,1.0,15.0,3000.0,28.0,28.0,29.0,N/A
13,doiwala,20.0,20.0,69.0,22.0,9.0,20.0,20.0,19.0,19.0,20.0,4.0,19.0,0.2,0,22.0,11.0,10.0,20.0,20.0,5.0,15.0,20.0,17.0,20.0,19.0,20.0,19.0,25.0,24.0,19.0,20.0,20.0,19.0,6.0,N/A,20.0,20.0,3.0,20.0,19.0,19.0,20.0,20.0,1.0,27.0,19.0,20.0,20.0,19.0,19.0,N/A,20.0,7.0,20.0,N/A,20.0,19.0,20.0,20.0,20.0,N/A,20.0,20.0,20.0,247.0,19.0,20.0,N/A,20.0,20.0,20.0,19.0,21.0,20.0,9.0,285.0,20.0,20.0,21.0,20.0,20.0,20.0,N/A,N/A,30.0,N/A
14,lachiwala,6.9,6.0,68.0,14.0,9.0,6.0,0.0,0.0,N/A,6.0,4.0,4.0,28.0,22.0,0,11.0,4.0,N/A,13.0,5.0,4.0,419.0,1073.0,6.0,6.0,19.0,7.0,10.0,5.0,7.0,6.0,0.0,7.0,3000.0,3.0,3.0,6.0,3.0,N/A,3000.0,7.0,22.0,3.0,6.0,23.0,6.0,3.0,3.0,6.0,1.61,0.0,7.0,7.0,7.0,334.0,7.0,22.0,8.0,6.0,16.0,22.0,17.0,19.0,7.0,N/A,22.0,22.0,37.0,7.0,36.0,6.0,185.0,21.0,7.0,9.0,285.0,83.0,4.0,21.0,0.0,15.0,N/A,6.0,16.0,7.0,2.0
15,kuanwala,12.0,11.0,69.0,14.0,9.0,N/A,11.0,11.0,11.0,11.0,1.0,4.0,N/A,19.0,11.0,0,11.0,11.0,7.0,5.0,8.0,11.0,1073.0,11.0,11.0,11.0,11.0,9.0,5.0,11.0,11.0,11.0,11.0,N/A,3.0,11.0,11.0,3.0,11.0,440.0,11.0,11.0,11.0,1.0,1.0,10.0,1.0,11.0,11.0,11.0,201.0,N/A,7.0,N/A,11.0,11.0,11.0,170.4,11.0,11.0,N/A,11.0,11.0,11.0,11.0,N/A,11.0,37.0,11.0,0.0,11.0,201.0,21.0,N/A,21.0,827.0,N/A,1.0,21.0,3.0,11.0,11.0,11.0,11.0,N/A,11.0
16,harawala,10.0,1.0,16.0,6.0,9.0,2.0,10.0,10.0,10.0,10.0,5.0,4.0,28.0,19.0,6.0,11.0,0,13.0,7.0,5.0,N/A,8.0,1073.0,5.0,8.0,10.0,4.0,9.0,5.0,N/A,8.0,2.0,8.0,6.0,3.0,N/A,3.0,3.0,10.0,1.0,N/A,10.0,N/A,1.1,6.0,201.0,3.0,3.0,6.0,10.0,0.0,3000.0,7.0,7.0,17.0,2.0,10.0,13.0,1.0,10.0,8.0,10.0,1.0,1.0,247.0,4.0,11.0,37.0,10.0,1.0,0.0,27.0,21.0,11.0,9.0,285.0,83.0,446.0,21.0,13.0,15.0,N/A,201.0,8.0,17.0,2.0
17,miawala,10.0,1.7,N/A,11.0,9.0,1.0,0.0,13.0,13.0,1.0,0.0,4.0,28.0,20.0,22.0,11.0,10.0,0,7.0,5.0,14.0,419.0,1072.16,5.0,3000.0,13.0,2.0,9.0,0.0,1.0,0.0,0.0,13.0,6.0,N/A,3.0,N/A,3.0,1.0,3000.0,1.0,13.0,3.0,3000.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,7.0,7.0,14.0,N/A,9.0,243.0,170.4,3000.0,4.0,10.0,18.0,1.0,4.0,247.0,839.0,13.0,37.0,N/A,1.0,0.0,27.0,N/A,10.0,9.0,285.0,83.0,4.0,21.0,2.0,15.0,13.0,1.0,16.0,285.0,2.0
18,mokampur,7.0,N/A,69.0,11.0,9.0,1.0,1.0,13.0,N/A,13.0,5.0,N/A,28.0,20.0,6.0,N/A,10.0,13.0,0,3.0,3.0,419.0,1073.0,0.0,7.0,13.0,7.0,9.0,1.0,7.0,N/A,1.61,13.0,6.0,3.0,7.0,7.0,3.0,3000.0,7.0,7.0,13.0,3.0,4.0,1.0,13.0,3.0,3.0,N/A,7.0,13.0,3000.0,N/A,7.0,15.0,13.0,4.0,13.0,13.0,4.0,7.0,7.0,13.0,2.0,247.0,201.0,7.0,37.0,13.0,1.0,7.0,27.0,20.0,13.0,N/A,N/A,N/A,4.0,21.0,9.0,15.0,0.0,201.0,16.0,4.0,N/A
19,jogiwala,7.0,5.0,69.0,10.0,9.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,28.0,20.0,5.0,11.0,5.0,6.0,3.0,0,1.0,5.0,1073.0,1.0,N/A,N/A,4.0,9.0,8.0,5.0,5.0,1.61,5.0,3000.0,3.0,5.0,5.0,3.0,7.0,N/A,5.0,5.0,11.0,3.5,15.0,5.0,3.0,2.2,13.0,5.0,6.0,1.0,15.0,N/A,N/A,5.0,5.0,5.0,5.0,10.0,5.0,6.0,5.0,6.0,247.0,5.0,5.0,37.0,N/A,1.0,1.0,5.0,21.0,19.0,9.0,14.0,N/A,1.0,21.0,3.0,1.0,5.0,N/A,5.0,14.0,5.0
